Row number,CIID,Chemical Name,Recipe,CAS Number ,Supplier,Product # (link to item),lot #,container #,amount,"amount, kg",unit, location,"est amount remaining 
(June 30, 2023)",pdfs of SDS (as of Jan 2025) (SDS must be updated every 3 years) ,UN Number,Class,Packing Group,GHS Flammable liquid category,Supplier SDS link (SDS should update as suppliers update),est amount remaining (Jun 2024),Expiry Date,date consumed,COA or other notes,,State (based on CoA SDS info (section 3 or 9) if available)),colour (based on CoA or SDS info (section 9) if available)),MolecularWeight,density,,TOXIC ORAL,TOXIC DERMAL,TOXIC INHALATION,SKIN CORROSION / IRRITATION,SERIOUS EYE DAMAGE/EYE IRRITATION,RESPIRATORY SENSITIZATION,SKIN SENSITIZATION,GERM CELL MUTAGENICITY,CARCINOGENICITY,REPRODUCTIVE TOXICITY,SPECIFIC TARGET ORGAN TOXICITY SINGLE EXPOSURE,SPECIFIC TARGET ORGAN TOXICITY REPEATED EXPOSURE,ASPIRATION HAZARD,Health hazard not otherwise classified,FLAMMABLE LIQUIDS,FLAMMABLE SOLIDS,Self-reactive substances and mixtures,CORROSIVE TO METALS,SELF-HEATING SUBSTANCES AND MIXTURE,OXIDIZING  LIQUIDS,OXIDIZING SOLIDS,COMBUSTIBLE DUSTS,Fire or projection hazard,Physical Hazards Not Otherwise Classified,Short-term (acute) aquatic hazard ,Long-term (chronic) aquatic hazard 
161,937,1-butanol,99.9%,71-36-3,Sigma Aldrich,537993-1L,SHBQ7610,,1L,0.81,kg,FC4,"received after June 30, 2023","butanol, 99.9%_Sigma_SDS_revised Oct 2023",UN1120,3,III,3,"Sigma_537993_butanol, 99.9% (1-butanol)",,,,,,liquid,colourless,74.12,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,938,1-butanol,99.9%,71-36-3,Sigma Aldrich,537993-1L,SHBQ7610,,1L,0.81,kg,FC4,"received after June 30, 2023","butanol, 99.9%_Sigma_SDS_revised Oct 2023",UN1120,3,III,3,"Sigma_537993_butanol, 99.9% (1-butanol)",,,,,,liquid,colourless,74.12,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,939,1-butanol,99.9%,71-36-3,Sigma Aldrich,537993-1L,SHBQ7610,,1L,0.81,kg,FC4,"received after June 30, 2023","butanol, 99.9%_Sigma_SDS_revised Oct 2023",UN1120,3,III,3,"Sigma_537993_butanol, 99.9% (1-butanol)",,,,,,liquid,colourless,74.12,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
902,940,silicone sealant,SPECTREM 2 WHITE,"contains: 471-34-1, 1317-65-3, 13463-67-7, 57-11-4, 556-67-2, 1344-28-1",Cascade Aqua-tech (Tremco),TEM0810074,,1,300 mL,0.429,kg,,"recieved after June 30, 2024",Spectrum 2 white_Tremco_SDS_revised Nov 2018 _Recieved July 2024,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),white ,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
903,941,silicone sealant,SPECTREM 2 WHITE,"contains: 471-34-1, 1317-65-3, 13463-67-7, 57-11-4, 556-67-2, 1344-28-1",Cascade Aqua-tech (Tremco),TEM0810074,,2,300 mL,0.429,kg,,"recieved after June 30, 2024",Spectrum 2 white_Tremco_SDS_revised Nov 2018 _Recieved July 2024,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),white ,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
904,942,silicone sealant,SPECTREM 2 WHITE,"contains: 471-34-1, 1317-65-3, 13463-67-7, 57-11-4, 556-67-2, 1344-28-1",Cascade Aqua-tech (Tremco),TEM0810074,,3,300 mL,0.429,kg,,"recieved after June 30, 2024",Spectrum 2 white_Tremco_SDS_revised Nov 2018 _Recieved July 2024,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),white ,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
905,943,silicone sealant,SPECTREM 2 WHITE,"contains: 471-34-1, 1317-65-3, 13463-67-7, 57-11-4, 556-67-2, 1344-28-1",Cascade Aqua-tech (Tremco),TEM0810074,,4,300 mL,0.429,kg,,"recieved after June 30, 2024",Spectrum 2 white_Tremco_SDS_revised Nov 2018 _Recieved July 2024,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),white ,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
906,944,silicone sealant,SPECTREM 2 WHITE,"contains: 471-34-1, 1317-65-3, 13463-67-7, 57-11-4, 556-67-2, 1344-28-1",Cascade Aqua-tech (Tremco),TEM0810074,,5,300 mL,0.429,kg,,"recieved after June 30, 2024",Spectrum 2 white_Tremco_SDS_revised Nov 2018 _Recieved July 2024,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),white ,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
907,945,silicone sealant,SPECTREM 2 WHITE,"contains: 471-34-1, 1317-65-3, 13463-67-7, 57-11-4, 556-67-2, 1344-28-1",Cascade Aqua-tech (Tremco),TEM0810074,,6,300 mL,0.429,kg,,"recieved after June 30, 2024",Spectrum 2 white_Tremco_SDS_revised Nov 2018 _Recieved July 2024,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),white ,,1.43,,,,,,,,,,,,,,,,,,,,,,,1,,,,
908,946,silicone sealant,SPECTREM 2 WHITE,"contains: 471-34-1, 1317-65-3, 13463-67-7, 57-11-4, 556-67-2, 1344-28-1",Cascade Aqua-tech (Tremco),TEM0810074,,7,300 mL,0.429,kg,,"recieved after June 30, 2024",Spectrum 2 white_Tremco_SDS_revised Nov 2018 _Recieved July 2024,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),white ,,1.43,,,,,1A,,,,,,,,,,,,,,,,,,,,,,
909,947,silicone sealant,SPECTREM 2 WHITE,"contains: 471-34-1, 1317-65-3, 13463-67-7, 57-11-4, 556-67-2, 1344-28-1",Cascade Aqua-tech (Tremco),TEM0810074,,8,300 mL,0.429,kg,,"recieved after June 30, 2024",Spectrum 2 white_Tremco_SDS_revised Nov 2018 _Recieved July 2024,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),white ,,1.43,,,,,,1,,,,,,,,,,,,,,,,,,,,3,
910,948,silicone sealant,SPECTREM 2 WHITE,"contains: 471-34-1, 1317-65-3, 13463-67-7, 57-11-4, 556-67-2, 1344-28-1",Cascade Aqua-tech (Tremco),TEM0810074,,9,300 mL,0.429,kg,,"recieved after June 30, 2024",Spectrum 2 white_Tremco_SDS_revised Nov 2018 _Recieved July 2024,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),white ,,1.43,,,,,,2A,,,,,,,,,,,,,,,,,,,,,
911,949,silicone sealant,SPECTREM 2 WHITE,"contains: 471-34-1, 1317-65-3, 13463-67-7, 57-11-4, 556-67-2, 1344-28-1",Cascade Aqua-tech (Tremco),TEM0810074,,10,300 mL,0.429,kg,,"recieved after June 30, 2024",Spectrum 2 white_Tremco_SDS_revised Nov 2018 _Recieved July 2024,Not dangerous goods,n/a,n/a,,,,,,,,solid (paste),white ,,1.43,,,,,,,,,,,,,,,,,,,,,,,,,,,
584,950,methyl cellulose,vicosity 1500 cP,9004-67-5,Millipore Sigma,M0387-100G,BCCK6715,1,100 g,0.1,kg,black stroage cabinaet,"recieved after June 30, 2024","methyl cellulose, viscosity 1,500 CP_Sigma_SDS_revised April 2022",Not dangerous goods,n/a,n/a,,Sigma_M0387_Methyl Cellulose,,,,,,powder ,white,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
752,951,poly(vinyl acetate),"Mw 100000, beads",9003-20-7,Sigma Aldrich,189480-25G,MKCT7591,2-10,25 g,0.025,kg,fridge,"received after June 30, 2024","poly (vinyl acetate), average Mw ~100,000 by GPC, beads_Sigma_SDS_revised June 2023",Not dangerous goods,n/a,n/a,,"Sigma_189480_poly(vinyl acetate), average MW 100000",,,,,,solid (beads), ,,1.18,,4,,4,2,1,,,,,,3,,,,,,,,,,,,,,2,3
753,952,poly(vinyl alcohol),"99% hydrolyzed, Mw 89000-98000",9002-89-5,Millipore Sigma,341584-25G,MKCP0171,11-21,25 g,0.025,kg,Black storage cabinet,"received after June 30, 2024","poly (vinyl alcohol), Mw 89,000-98,000, 99+% hydrolyzed_Sigma_SDS_revised Feb 2024",Not dangerous goods,n/a,n/a,,"Sigma_341584_poly(vinyl alcohol), 99+% Hydrolyzed",,,,,,solid (beads), ,,1.18,,,,,,,,,,,,,,,,,,,,,,,,,,,
756,953,poly(acrylic acid),,9003-01-4,Millipore Sigma,323667-5G,0000295002,1,5 g,0.005,kg,fridge,"received after June 30, 2024","Poly (acrylic acid), powder_Sigma_SSDS_revised March 2024",Not dangerous goods,n/a,n/a,,"Sigma_323667_poly (acrylic acid), powder",,,,,,solid (powder),white,72.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
413,954,hydroxypropyl methyl cellulose,,9004-65-3 ,Millipore Sigma,423238-25G,MKCP6865,1,25 g,0.025,kg,,"received after June 30, 2024","Hydroxypropyl methyl cellulose_average Mn ~10,000_Visc 2%aq soln = 6cps_Sigma_SDS_Revised Jan 2025",Not dangerous goods,n/a,n/a,,"Sigma_423238_hydroxypropyl methyl cellulose_average Mn ~10,000_Visc 2%aq soln = 6cps",,,,,,solid (powder),beige,"average Mn ~10,000",,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,955,1-butanol,"anhydrous, 99.9%",71-36-3,ThermoFisher,41867-M1,U30J799,1,1L,0.81,kg,FC2 or 5 before glovebox,"received after June 30, 2024",Butanol (1-butanol) anhydrous_ThermoFisher_SDS_revised March 2024,UN1120,3,III,3,"ThermoFisher_41867_butanol (1-butanol), anhydrous 99.9%",,,,,,liquid,colourless,74.12,0.81,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,956,1-butanol,"anhydrous, 99.9%",71-36-3,ThermoFisher,41867-M1,U30J799,2,1L,0.81,kg,FC2 or 5 before glovebox,"received after June 30, 2024",Butanol (1-butanol) anhydrous_ThermoFisher_SDS_revised March 2024,UN1120,3,III,3,"ThermoFisher_41867_butanol (1-butanol), anhydrous 99.9%",,,,,,liquid,colourless,74.12,0.81,,,,,,2A,,1,,,,,,,,,,,,,,,,,,,
182,957,1-butanol,"anhydrous, 99.9%",71-36-3,ThermoFisher,41867-M1,U30J799,3,1L,0.81,kg,FC2 or 5 before glovebox,"received after June 30, 2024",Butanol (1-butanol) anhydrous_ThermoFisher_SDS_revised March 2024,UN1120,3,III,3,"ThermoFisher_41867_butanol (1-butanol), anhydrous 99.9%",,,,,,liquid,colourless,74.12,0.81,,,,,,2A,,1,,,,,,,,,,,,,,,,,,,
183,958,1-butanol,"anhydrous, 99.9%",71-36-3,ThermoFisher,41867-M1,U30J799,4,1L,0.81,kg,FC2 or 5 before glovebox,"received after June 30, 2024",Butanol (1-butanol) anhydrous_ThermoFisher_SDS_revised March 2024,UN1120,3,III,3,"ThermoFisher_41867_butanol (1-butanol), anhydrous 99.9%",,,,,,liquid,colourless,74.12,0.81,,,,,,2A,,1,,,,,,,,,,,,,,,,,,,
184,959,1-butanol,"anhydrous, 99.9%",71-36-3,ThermoFisher,41867-M1,U30J799,5,1L,0.81,kg,FC2 or 5 before glovebox,"received after June 30, 2024",Butanol (1-butanol) anhydrous_ThermoFisher_SDS_revised March 2024,UN1120,3,III,3,"ThermoFisher_41867_butanol (1-butanol), anhydrous 99.9%",,,,,,liquid,colourless,74.12,0.81,,,,,,2A,,1,,,,,,,,,,,,,,,,,,,
185,960,1-butanol,"anhydrous, 99.9%",71-36-3,ThermoFisher,41867-M1,U30J799,6,1L,0.81,kg,FC2 or 5 before glovebox,"received after June 30, 2024",Butanol (1-butanol) anhydrous_ThermoFisher_SDS_revised March 2024,UN1120,3,III,3,"ThermoFisher_41867_butanol (1-butanol), anhydrous 99.9%",,,,,,liquid,colourless,74.12,0.81,,,,,,2A,,1,,,,,,,,,,,,,,,,,,,
186,961,1-butanol,"anhydrous, 99.9%",71-36-3,ThermoFisher,41867-M1,U30J799,7,1L,0.81,kg,FC2 or 5 before glovebox,"received after June 30, 2024",Butanol (1-butanol) anhydrous_ThermoFisher_SDS_revised March 2024,UN1120,3,III,3,"ThermoFisher_41867_butanol (1-butanol), anhydrous 99.9%",,,,,,liquid,colourless,74.12,0.81,,,,,,2A,,1,,,,,,,,,,,,,,,,,,,
187,962,1-butanol,"anhydrous, 99.9%",71-36-3,ThermoFisher,41867-M1,U30J799,8,1L,0.81,kg,FC2 or 5 before glovebox,"received after June 30, 2024",Butanol (1-butanol) anhydrous_ThermoFisher_SDS_revised March 2024,UN1120,3,III,3,"ThermoFisher_41867_butanol (1-butanol), anhydrous 99.9%",,,,,,liquid,colourless,74.12,0.81,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
568,963,lithium titanate,lithium ion battery slurry,"contains: 12031-95-7, 872-50-4, 99685-96-8",Millipore Sigma,934267-25mL,MKCV1942,1,25 mL,0.025,kg,fridge,"recieved after June 30, 2024",Lithium Titanate (Li4Ti5O12) ready to cast slurry_Sigma_SDS_revised Oct 2023,Not dangerous goods,n/a,n/a,,,,,,,,liquid ,black,,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
861,964,silver paint,"silver in Iso-butyl methyl ketone, fast drying","contains 7440-22-4, 108-10-1",Ted Pella,16040-30,OW33705749,4,30 g,0.03,kg,,"recieved after June 30, 2024",silver paint_fast drying Silver Paint_Ted Pella_SDS_Revised Jan 2023,UN1263,3,II,,Ted Pella_16040-30_fast drying silver paint,,,,,,liquid ,silver ,,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
862,965,silver paint,"silver in Iso-butyl methyl ketone, fast drying","contains 7440-22-4, 108-10-1",Ted Pella,16040-30,OW33705749,5,30 g,0.03,kg,,"recieved after June 30, 2024",silver paint_fast drying Silver Paint_Ted Pella_SDS_Revised Jan 2023,UN1263,3,II,,Ted Pella_16040-30_fast drying silver paint,,,,,,liquid ,silver ,,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
863,966,silver paint,"silver in Iso-butyl methyl ketone, fast drying","contains 7440-22-4, 108-10-1",Ted Pella,16040-30,OW04959823,,30 g,0.03,kg,,,silver paint_fast drying Silver Paint_Ted Pella_SDS_Revised Jan 2023,UN1263,3,II,,Ted Pella_16040-30_fast drying silver paint,,,,,,liquid ,silver ,,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
864,967,silver paint,"silver in Iso-butyl methyl ketone, fast drying","contains 7440-22-4, 108-10-1",Ted Pella,16040-30,OW04959823,,30 g,0.03,kg,blue drawers in storage shelf,5%,silver paint_fast drying Silver Paint_Ted Pella_SDS_Revised Jan 2023,UN1263,3,II,,Ted Pella_16040-30_fast drying silver paint,,,,,,liquid ,silver ,,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
865,968,silver paint,"silver in Iso-butyl methyl ketone, fast drying","contains 7440-22-4, 108-10-1",Ted Pella,16040-30,OW04959823,,30 g,0.03,kg,softwall cleanroom,50%,silver paint_fast drying Silver Paint_Ted Pella_SDS_Revised Jan 2023,UN1263,3,II,,Ted Pella_16040-30_fast drying silver paint,,,,,,liquid ,silver ,,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
67,969,2-propanol,99.5% ACS reagent,67-63-0,Fisher,A416-20,240111,1,20 L,15.7,kg,FC4,"recieved after June 30, 2023",2-propanol (isopropanol)_Fisher_SDS_revised Oct 2023,UN1219,3,II,2,Fisher_A416-20_2-propanol,,,,,,liquid,colourless,60.1,0.785,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
533,970,lithium iron phosphate,"electrode sheet, aluminum substrate",,Millipore Sigma,934771-1ea,MKCV1509,1,5 in x 10 in sheet,,,glovebox,"recieved after June 30, 2024",no SDS listed on Sigma Website,,,,,,,,,,,,,,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
643,971,nickel (II) 2-ethylhexanoate,"crude in ethanol, Ageias",,Ageias,#11 - 1056LAB1-Ex-G-002-EtOH,,,11 mL,0.011,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
2-ethylhexanoic acid_Sigma_SDS_revised Oct 2023
ethyl alcohol (ethanol), denatured_Fisher_SDS_revised Dec-2021",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate
Sigma_538701_2-ethylhexanoic acid
",,,,,,"solid (powder), liquid",green,mixture,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
644,972,nickel (II) 2-methylbutyrate,"crude in butanol, Ageias",,Ageias,#13 - 1056LAB1-Ex-D-002-BuOH,,,2 mL,0.002,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
1-Butanol, 99.9%_Sigma Aldrich_SDS_revised Oct 2023
2-methylbutyric acid, 98%_Sigma_SDS_revised March 2024",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate
Sigma_537933_1-Butanol
Sigma_193070_2-methylbutyric acid, 98%",,,,,,"solid (powder), liquid",green,mixture,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
645,973,nickel (II) 2-methylbutyrate,"crude in butanol, Ageias",,Ageias,#17 - 1056LAB1-Ex-D-002-BuOH,,,11 mL,0.011,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
1-Butanol, 99.9%_Sigma Aldrich_SDS_revised Oct 2023
2-methylbutyric acid, 98%_Sigma_SDS_revised March 2024",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate
Sigma_537933_1-Butanol
Sigma_193070_2-methylbutyric acid, 98%",,,,,,"solid (powder), liquid",green,mixture,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
646,974,nickel (II) 2-methylbutyrate,"crude in ethanol, Ageias",,Ageias,#7 - 1056LAB1-Ex-D-001-EtOH,,,12 mL,0.012,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
2-methylbutyric acid, 98%_Sigma_SDS_revised March 2024
ethyl alcohol (ethanol), denatured_Fisher_SDS_revised Dec-2021",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate",,,,,,"solid (powder), liquid",green,mixture,,,,,,2,2A,,,,,,,,,,,,,,,,,,,,,
647,975,nickel (II) 2-methylbutyrate,"crude in methanol, Ageias",,Ageias,#6 - 1056LAB1-Ex-D-002-MeOH,,,28 mL,0.028,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
2-methylbutyric acid, 98%_Sigma_SDS_revised March 2024
methanol, ACS reagent, ≥99.8%_Sigma_SDS_Revised Nov 2024",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate
Sigma_179337_methanol, ACS reagent, ≥99.8%
Sigma_193070_2-methylbutyric acid, 98%",,,,,,"solid (powder), liquid",green,mixture,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
653,976,nickel (II) acetate tetrahydrate, 99%,6018-89-9,ThermoFisher,415545000,A0451223,1,500g,0.5,kg,FC1,"recieved after June 30, 2024",Nickel (II) acetate tetrahydrate_ThermoFisher_SDS_Revised Dec 2021_recieved April 2025,UN3077,9,III,n/a,"ThermoFisher_415545000_Nickel (II) acetate, tetrahydrate",,,,"Nickel (II) acetate tetrahydrate, 99%, extra pure_ThermoFisher_415545000_Lot A0451223_CoA_April 21, 2025",,solid (crystalline powder),greenish-blue,248.86,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
654,977,nickel (II) butyrate,"crude in butanol, Ageias",,Ageias,#3 - 1056LAB1-Ex-B-004-BuOH,,,9 mL,0.009,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021
1-Butanol, 99.9%_Sigma Aldrich_SDS_revised Oct 2023
Butyric Acid_TCI_SDS_Revised Oct 2024",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate
Sigma_537933_1-Butanol
TCI_B0754_Butyric Acid",,,,,,"solid (powder), liquid, liquid",green,mixture,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
655,978,nickel (II) butyrate,"crude in ethanol, Ageias",,Ageias,#2 - 1056LAB1-Ex-B-002-EtOH,,,7 mL,0.007,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021
ethyl alcohol (ethanol), denatured_Fisher_SDS_revised Dec-2021
Butyric Acid_TCI_SDS_Revised Oct 2024",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate
TCI_B0754_Butyric Acid",,,,,,"solid (powder), liquid, liquid",green,mixture,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
661,979,nickel (II) hydroxide,,12054-48-7,Millipore Sigma,283622-250G,STBL4083,1,250 g,0.25,kg,store in FC1,"received after June 30, 2023",Nickel (II) Hydroxide_Sigma_SDS_Revised March 2024,UN3077,9,III,,Sigma_283622_Nickel (II) Hydroxide,,,,,,solid (powder),light green,92.71,4.1,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
662,980,nickel (II) isobutyrate,"crude in butanol, Ageias",,Ageias,#12 - 1056LAB1-Ex-C-002-BuOH,,,2 mL,0.002,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
1-Butanol, 99.9%_Sigma Aldrich_SDS_revised Oct 2023
isobutyric acid_Sigma_SDS_revised Jan 2025",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate
Sigma_537933_1-Butanol
Sigma_58360_Isobutyric Acid",,,,,,"liquid, solid (powder)","green, colourless, colourless",mixture,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
663,981,nickel (II) isobutyrate,"crude in butanol, Ageias",,Ageias,#16 - 1056LAB1-Ex-C-002-BuOH,,,10  mL,0.01,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
1-Butanol, 99.9%_Sigma Aldrich_SDS_revised Oct 2023
isobutyric acid_Sigma_SDS_revised Jan 2025",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate
Sigma_537933_1-Butanol
Sigma_58360_Isobutyric Acid",,,,,,"liquid, solid (powder)","green, colourless, colourless",mixture,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
664,982,nickel (II) isobutyrate,"crude in ethanol, Ageias",,Ageias,#5 - 1056LAB1-Ex-C-001-EtOH,,,18 mL,0.018,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
ethyl alcohol (ethanol), denatured_Fisher_SDS_revised Dec-2021
isobutyric acid_Sigma_SDS_revised Jan 2025",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate",,,,,,"liquid, solid (powder)","green, colourless, colourless",mixture,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
665,983,nickel (II) isobutyrate,"crude in methanol, Ageias",,Ageias,#4 - 1056LAB1-Ex-C-003-MeOH,,,20 mL,0.02,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
methanol, ACS reagent, ≥99.8%_Sigma_SDS_Revised Nov 2024
isobutyric acid_Sigma_SDS_revised Jan 2025",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate
Sigma_179337_methanol, ACS reagent, ≥99.8%
Sigma_58360_Isobutyric Acid",,,,,,"liquid, solid (powder)","green, colourless, colourless",mixture,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
666,984,nickel (II) isovalerate,"crude in butanol, Ageias",,Ageias,#10 - 1056LAB1-Ex-E-002-BuOH,,,17 mL,0.017,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
1-Butanol, 99.9%_Sigma Aldrich_SDS_revised Oct 2023
Isovaleric Acid_TCI_SDS_revised Dec 2024",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate
Sigma_537933_1-Butanol
TCI_M0182_Isovaleric Acid",,,,,,"liquid, solid (powder)","green, colourless, colourless",mixture,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,
667,985,nickel (II) isovalerate,"crude in ethanol, Ageias",,Ageias,#9 - 1056LAB1-Ex-E-002-EtOH,,,23 mL,0.023,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
ethyl alcohol (ethanol), denatured_Fisher_SDS_revised Dec-2021
Isovaleric Acid_TCI_SDS_revised Dec 2024",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate

TCI_M0182_Isovaleric Acid",,,,,,"liquid, solid (powder)","green, colourless, colourless",mixture,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
668,986,nickel (II) isovalerate,"crude in methanol, Ageias",,Ageias,#8 - 1056LAB1-Ex-E-001-MeOH,,,17 mL,0.017,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025
methanol, ACS reagent, ≥99.8%_Sigma_SDS_Revised Nov 2024
Isovaleric Acid_TCI_SDS_revised Dec 2024",,,,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate
Sigma_179337_methanol, ACS reagent, ≥99.8%
TCI_M0182_Isovaleric Acid",,,,,,"liquid, solid (powder)","green, colourless, colourless",mixture,,,4,,,,,,,,,,,,,,,,,,,,,,,,,
672,987,nickel (II) nitrate hexahydrate,,13478-00-7,Sigma Aldrich,244074-100G,BCBW8433,,100 g,0.1,kg,FC1; oxidizers,trace,Nickel (II) Nitrate Hexahydrate_Sigma_SDS_Revised Jan 2025,UN2725 ,5.1,III,,"Sigma_244074_Nickel (II) Nitrate Hexahydrate, crystal",,,,,,solid (crystalline),dark green,290.78,2.05,,4,,,,2A,,,,,,,,,,,,,,,,,,,,,
676,988,nickel(II) carbonate,"basic hydrate, Ageias",,Ageias,#18 - Ni(CO3)2Ni(OH)2 11H2O,,,0.1 g,0.0001,kg,FC3,"recieved after June 30, 2024","Nickel (II) carbonate, basic hydrate_STREM_SDS_revised July 2021 checked Feb 2025",Not dangerous goods,n/a,n/a,,"Strem_93-2808_Nickel (II) carbonate, basic hydrate",,,,,,solid (powder),green,,,,4,,,,2A,,,,,,,,,,,,,,,,,,,,,
688,989,niobium (IV) 2-ethylhexanoate,10.7% Nb,206564-87-6,Strem,41-1260,L00782312,2,50 g,0.05,kg,FC3 until use then glovebox,"received after June 30, 2023",niobium (IV) 2-ethylhexanoate_strem_SDS_revised July 2021 checked Feb 2025,Not dangerous goods,n/a,n/a,,Strem_41-1260_niobium (IV) 2-ethylhexanoate,,,,Niobium(IV) 2-ethylhexanoate_Strem_41-1260_lot L00782312_CoA,,liquid (viscous),yellow,,,,,,,2,2A,,1,,,,,,,,,,,,,,,,,,,
689,990,niobium (IV) 2-ethylhexanoate,10.7% Nb,206564-87-6,Strem,41-1260,L00782312,15,50 g,0.05,kg,FC3 until use then glovebox,"received after June 30, 2024",niobium (IV) 2-ethylhexanoate_strem_SDS_revised July 2021 checked Feb 2025,Not dangerous goods,n/a,n/a,,Strem_41-1260_niobium (IV) 2-ethylhexanoate,,,,Niobium(IV) 2-ethylhexanoate_Strem_41-1260_lot L00782312_CoA,,liquid (viscous),yellow,,,,,,,2,2A,,1,,,,,,,,,,,,,,,,,,,
